date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
2/25/16,76,83,78,76,22,31,69,633.789978
2/26/16,75,66,79,82,43,50,71,632.650024
2/27/16,80,68,81,84,22,68,64,607.940002
2/28/16,85,71,78,74,44,31,61,607.049988
2/29/16,77,61,80,71,57,0,73,617.73999
3/1/16,77,67,88,88,51,36,71,617.890015
3/2/16,77,77,90,79,38,23,73,581.809998
3/3/16,77,68,86,90,43,51,82,593
3/4/16,75,62,83,78,42,55,77,570.179993
3/5/16,81,69,100,89,32,38,67,574.47998
3/6/16,85,66,89,74,67,42,64,571.77002
3/7/16,79,60,78,79,34,31,77,575.02002
3/8/16,77,58,90,90,26,0,72,596.380005
3/9/16,77,81,85,73,51,45,77,596.530029
3/10/16,78,84,83,83,76,42,78,601.25
3/11/16,74,86,83,72,44,31,78,583.349976
3/12/16,80,55,72,82,44,20,69,635.349976
3/13/16,85,80,74,76,11,51,70,587
3/14/16,78,75,78,67,35,60,77,574.809998
3/15/16,77,55,83,65,51,47,77,552.099976
3/16/16,75,78,89,66,64,0,72,531.070007
3/17/16,74,100,76,80,11,31,75,536.26001
3/18/16,73,79,78,76,43,49,76,502.130005
3/19/16,79,96,78,86,44,40,67,488.100006
3/20/16,84,60,79,73,11,65,67,482.070007
3/21/16,81,83,79,70,23,31,74,490.480011
3/22/16,76,66,85,73,39,60,72,503.820007
3/23/16,77,79,85,83,52,48,74,507.079987
3/24/16,74,80,82,94,45,41,74,521.099976
3/25/16,78,76,76,85,44,38,69,534.099976
3/26/16,77,63,81,78,89,48,71,525
3/27/16,78,64,79,89,79,75,65,534.900024
3/28/16,81,45,79,90,46,53,69,559.5
3/29/16,79,76,81,81,13,50,72,552.940002
3/30/16,79,80,88,91,0,24,72,554.039978
3/31/16,77,77,82,80,44,21,73,555.150024
4/1/16,88,81,78,87,43,41,56,555.22998
4/2/16,90,55,77,78,65,52,49,552.52002
4/3/16,97,60,67,78,66,19,49,579.039978
4/4/16,93,70,74,81,34,22,55,580.210022
4/5/16,89,88,78,62,51,36,57,577.48999
4/6/16,90,66,90,74,64,0,56,575.140015
4/7/16,89,89,82,87,55,69,89,562.799988
4/8/16,87,80,84,80,53,56,100,560.26001
4/9/16,93,82,74,81,43,41,60,559.469971
4/10/16,98,54,73,81,33,61,52,558.929993
4/11/16,91,52,73,76,46,45,57,569.609985
4/12/16,89,90,87,84,53,25,54,573.369995
4/13/16,90,77,88,84,52,84,55,577.02002
4/14/16,87,80,73,87,11,51,56,574.27002
4/15/16,86,55,77,81,11,39,57,559.440002
4/16/16,91,53,78,79,33,20,49,552.080017
4/17/16,97,45,78,79,80,43,49,553.97998
4/18/16,91,50,76,72,23,22,56,560.47998
4/19/16,89,68,76,79,40,36,58,569.630005
4/20/16,86,62,85,62,26,69,56,582.950012
